ID,subjectID,name,shift,weekday,week,semester,students
501031_1_2023_13,'501031,Giải tích ứng dụng cho Công nghệ thông tin,2,5,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52311001--52311002--52311003--52311004--52311005--52311006--52311007--52311008--52311009--52311010--52311011--52311012--52311013--52311014--52311015--52311016--52311017--52311018--52311019--52311020--52311021--52311022--52311023--52311024--52311025--52311026--52311027--52311028--52311029--52311030--52311031--52311032--52311033--52311034--52311035--52311036--52311037--52311038--52311039--52311040--52311041--52311042--52311043--52311044--52311045--52311046--52311047--52311048--52311049--52311050-
501031TH_1_2023_13,'501031TH,Thực hành giải tích ứng dụng cho Công nghệ thông tin,2,3,-1-2-3-4-5-6-7-8-9-10-,hk1,-52311001--52311002--52311003--52311004--52311005--52311006--52311007--52311008--52311009--52311010--52311011--52311012--52311013--52311014--52311015--52311016--52311017--52311018--52311019--52311020--52311021--52311022--52311023--52311024--52311025--52311026--52311027--52311028--52311029--52311030--52311031--52311032--52311033--52311034--52311035--52311036--52311037--52311038--52311039--52311040--52311041--52311042--52311043--52311044--52311045--52311046--52311047--52311048--52311049--52311050-
D02030_1_2023_13,'D02030,Giáo dục quốc phòng - Học phần 3,3,4,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-26-27-28-29-30-31-32-,hk1,-52311001--52311002--52311003--52311004--52311005--52311006--52311007--52311008--52311009--52311010--52311011--52311012--52311013--52311014--52311015--52311016--52311017--52311018--52311019--52311020--52311021--52311022--52311023--52311024--52311025--52311026--52311027--52311028--52311029--52311030--52311031--52311032--52311033--52311034--52311035--52311036--52311037--52311038--52311039--52311040--52311041--52311042--52311043--52311044--52311045--52311046--52311047--52311048--52311049--52311050-
L00001_1_2023_13,'L00001,Kỹ năng phát triển bền vững,3,7,-2-3-4-5-6-,hk1,-52311001--52311002--52311003--52311004--52311005--52311006--52311007--52311008--52311009--52311010--52311011--52311012--52311013--52311014--52311015--52311016--52311017--52311018--52311019--52311020--52311021--52311022--52311023--52311024--52311025--52311026--52311027--52311028--52311029--52311030--52311031--52311032--52311033--52311034--52311035--52311036--52311037--52311038--52311039--52311040--52311041--52311042--52311043--52311044--52311045--52311046--52311047--52311048--52311049--52311050-
300014_1_2023_13,'300014,Phương pháp học đại học,2,2,-2-3-,hk1,-52311001--52311002--52311003--52311004--52311005--52311006--52311007--52311008--52311009--52311010--52311011--52311012--52311013--52311014--52311015--52311016--52311017--52311018--52311019--52311020--52311021--52311022--52311023--52311024--52311025--52311026--52311027--52311028--52311029--52311030--52311031--52311032--52311033--52311034--52311035--52311036--52311037--52311038--52311039--52311040--52311041--52311042--52311043--52311044--52311045--52311046--52311047--52311048--52311049--52311050-
501042_1_2023_13,'501042,Phương pháp lập trình,4,4,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52311001--52311002--52311003--52311004--52311005--52311006--52311007--52311008--52311009--52311010--52311011--52311012--52311013--52311014--52311015--52311016--52311017--52311018--52311019--52311020--52311021--52311022--52311023--52311024--52311025--52311026--52311027--52311028--52311029--52311030--52311031--52311032--52311033--52311034--52311035--52311036--52311037--52311038--52311039--52311040--52311041--52311042--52311043--52311044--52311045--52311046--52311047--52311048--52311049--52311050-
501042TH_1_2023_13,'501042TH,Thực hành phương pháp lập trình,2,4,-1-2-3-4-5-6-7-8-9-10-,hk1,-52311001--52311002--52311003--52311004--52311005--52311006--52311007--52311008--52311009--52311010--52311011--52311012--52311013--52311014--52311015--52311016--52311017--52311018--52311019--52311020--52311021--52311022--52311023--52311024--52311025--52311026--52311027--52311028--52311029--52311030--52311031--52311032--52311033--52311034--52311035--52311036--52311037--52311038--52311039--52311040--52311041--52311042--52311043--52311044--52311045--52311046--52311047--52311048--52311049--52311050-
001201_1_2023_13,'001201,Tiếng Anh 1,1,4,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-26-27-,hk1,-52311001--52311002--52311003--52311004--52311005--52311006--52311007--52311008--52311009--52311010--52311011--52311012--52311013--52311014--52311015--52311016--52311017--52311018--52311019--52311020--52311021--52311022--52311023--52311024--52311025--52311026--52311027--52311028--52311029--52311030--52311031--52311032--52311033--52311034--52311035--52311036--52311037--52311038--52311039--52311040--52311041--52311042--52311043--52311044--52311045--52311046--52311047--52311048--52311049--52311050-
D01001_1_2023_14,'D01001,Bơi lội,4,4,-1-2-3-4-5-6-7-8-9-10-,hk1,-52302001--52302002--52302003--52302004--52302005--52302006--52302007--52302008--52302009--52302010--52302011--52302012--52302013--52302014--52302015--52302016--52302017--52302018--52302019--52302020--52302021--52302022--52302023--52302024--52302025--52302026--52302027--52302028--52302029--52302030--52302031--52302032--52302033--52302034--52302035--52302036--52302037--52302038--52302039--52302040--52302041--52302042--52302043--52302044--52302045--52302046--52302047--52302048--52302049--52302050-
501043_1_2023_14,'501043,Cấu trúc dữ liệu và giải thuật 1,1,2,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52302001--52302002--52302003--52302004--52302005--52302006--52302007--52302008--52302009--52302010--52302011--52302012--52302013--52302014--52302015--52302016--52302017--52302018--52302019--52302020--52302021--52302022--52302023--52302024--52302025--52302026--52302027--52302028--52302029--52302030--52302031--52302032--52302033--52302034--52302035--52302036--52302037--52302038--52302039--52302040--52302041--52302042--52302043--52302044--52302045--52302046--52302047--52302048--52302049--52302050-
501043TH_1_2023_14,'501043TH,Thực hành cấu trúc dữ liệu và giải thuật 1,3,3,-1-2-3-4-5-6-7-8-9-10-,hk1,-52302001--52302002--52302003--52302004--52302005--52302006--52302007--52302008--52302009--52302010--52302011--52302012--52302013--52302014--52302015--52302016--52302017--52302018--52302019--52302020--52302021--52302022--52302023--52302024--52302025--52302026--52302027--52302028--52302029--52302030--52302031--52302032--52302033--52302034--52302035--52302036--52302037--52302038--52302039--52302040--52302041--52302042--52302043--52302044--52302045--52302046--52302047--52302048--52302049--52302050-
501032_1_2023_14,'501032,Đại số tuyến tính cho Công nghệ thông tin,4,5,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52302001--52302002--52302003--52302004--52302005--52302006--52302007--52302008--52302009--52302010--52302011--52302012--52302013--52302014--52302015--52302016--52302017--52302018--52302019--52302020--52302021--52302022--52302023--52302024--52302025--52302026--52302027--52302028--52302029--52302030--52302031--52302032--52302033--52302034--52302035--52302036--52302037--52302038--52302039--52302040--52302041--52302042--52302043--52302044--52302045--52302046--52302047--52302048--52302049--52302050-
501032TH_1_2023_14,'501032TH,Thực hành đại số tuyến tính cho Công nghệ thông tin,2,5,-1-2-3-4-5-6-7-8-9-10-,hk1,-52302001--52302002--52302003--52302004--52302005--52302006--52302007--52302008--52302009--52302010--52302011--52302012--52302013--52302014--52302015--52302016--52302017--52302018--52302019--52302020--52302021--52302022--52302023--52302024--52302025--52302026--52302027--52302028--52302029--52302030--52302031--52302032--52302033--52302034--52302035--52302036--52302037--52302038--52302039--52302040--52302041--52302042--52302043--52302044--52302045--52302046--52302047--52302048--52302049--52302050-
501031_1_2023_14,'501031,Giải tích ứng dụng cho Công nghệ thông tin,4,7,-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-,hk1,-52302001--52302002--52302003--52302004--52302005--52302006--52302007--52302008--52302009--52302010--52302011--52302012--52302013--52302014--52302015--52302016--52302017--52302018--52302019--52302020--52302021--52302022--52302023--52302024--52302025--52302026--52302027--52302028--52302029--52302030--52302031--52302032--52302033--52302034--52302035--52302036--52302037--52302038--52302039--52302040--52302041--52302042--52302043--52302044--52302045--52302046--52302047--52302048--52302049--52302050-
501031TH_1_2023_14,'501031TH,Thực hành giải tích ứng dụng cho Công nghệ thông tin,3,4,-1-2-3-4-5-6-7-8-9-10-,hk1,-52302001--52302002--52302003--52302004--52302005--52302006--52302007--52302008--52302009--52302010--52302011--52302012--52302013--52302014--52302015--52302016--52302017--52302018--52302019--52302020--52302021--52302022--52302023--52302024--52302025--52302026--52302027--52302028--52302029--52302030--52302031--52302032--52302033--52302034--52302035--52302036--52302037--52302038--52302039--52302040--52302041--52302042--52302043--52302044--52302045--52302046--52302047--52302048--52302049--52302050-
D02030_1_2023_14,'D02030,Giáo dục quốc phòng - Học phần 3,4,2,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-20-21-22-23-26-27-28-29-30-31-32-33-,hk1,-52302001--52302002--52302003--52302004--52302005--52302006--52302007--52302008--52302009--52302010--52302011--52302012--52302013--52302014--52302015--52302016--52302017--52302018--52302019--52302020--52302021--52302022--52302023--52302024--52302025--52302026--52302027--52302028--52302029--52302030--52302031--52302032--52302033--52302034--52302035--52302036--52302037--52302038--52302039--52302040--52302041--52302042--52302043--52302044--52302045--52302046--52302047--52302048--52302049--52302050-
L00001_1_2023_14,'L00001,Kỹ năng phát triển bền vững,4,3,-3-4-5-6-7-,hk1,-52302001--52302002--52302003--52302004--52302005--52302006--52302007--52302008--52302009--52302010--52302011--52302012--52302013--52302014--52302015--52302016--52302017--52302018--52302019--52302020--52302021--52302022--52302023--52302024--52302025--52302026--52302027--52302028--52302029--52302030--52302031--52302032--52302033--52302034--52302035--52302036--52302037--52302038--52302039--52302040--52302041--52302042--52302043--52302044--52302045--52302046--52302047--52302048--52302049--52302050-
300014_1_2023_14,'300014,Phương pháp học đại học,3,6,-3-4-,hk1,-52302001--52302002--52302003--52302004--52302005--52302006--52302007--52302008--52302009--52302010--52302011--52302012--52302013--52302014--52302015--52302016--52302017--52302018--52302019--52302020--52302021--52302022--52302023--52302024--52302025--52302026--52302027--52302028--52302029--52302030--52302031--52302032--52302033--52302034--52302035--52302036--52302037--52302038--52302039--52302040--52302041--52302042--52302043--52302044--52302045--52302046--52302047--52302048--52302049--52302050-
501042_1_2023_14,'501042,Phương pháp lập trình,3,5,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52302001--52302002--52302003--52302004--52302005--52302006--52302007--52302008--52302009--52302010--52302011--52302012--52302013--52302014--52302015--52302016--52302017--52302018--52302019--52302020--52302021--52302022--52302023--52302024--52302025--52302026--52302027--52302028--52302029--52302030--52302031--52302032--52302033--52302034--52302035--52302036--52302037--52302038--52302039--52302040--52302041--52302042--52302043--52302044--52302045--52302046--52302047--52302048--52302049--52302050-
501042TH_1_2023_14,'501042TH,Thực hành phương pháp lập trình,1,5,-1-2-3-4-5-6-7-8-9-10-,hk1,-52302001--52302002--52302003--52302004--52302005--52302006--52302007--52302008--52302009--52302010--52302011--52302012--52302013--52302014--52302015--52302016--52302017--52302018--52302019--52302020--52302021--52302022--52302023--52302024--52302025--52302026--52302027--52302028--52302029--52302030--52302031--52302032--52302033--52302034--52302035--52302036--52302037--52302038--52302039--52302040--52302041--52302042--52302043--52302044--52302045--52302046--52302047--52302048--52302049--52302050-
001201_1_2023_14,'001201,Tiếng Anh 1,2,4,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-26-27-,hk1,-52302001--52302002--52302003--52302004--52302005--52302006--52302007--52302008--52302009--52302010--52302011--52302012--52302013--52302014--52302015--52302016--52302017--52302018--52302019--52302020--52302021--52302022--52302023--52302024--52302025--52302026--52302027--52302028--52302029--52302030--52302031--52302032--52302033--52302034--52302035--52302036--52302037--52302038--52302039--52302040--52302041--52302042--52302043--52302044--52302045--52302046--52302047--52302048--52302049--52302050-
D01001_1_2023_15,'D01001,Bơi lội,2,5,-1-2-3-4-5-6-7-8-9-10-,hk1,-52312051--52312052--52312053--52312054--52312055--52312056--52312057--52312058--52312059--52312060--52312061--52312062--52312063--52312064--52312065--52312066--52312067--52312068--52312069--52312070--52312071--52312072--52312073--52312074--52312075--52312076--52312077--52312078--52312079--52312080--52312081--52312082--52312083--52312084--52312085--52312086--52312087--52312088--52312089--52312090--52312091--52312092--52312093--52312094--52312095--52312096--52312097--52312098--52312099--52312100-
501043_1_2023_15,'501043,Cấu trúc dữ liệu và giải thuật 1,1,2,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52312051--52312052--52312053--52312054--52312055--52312056--52312057--52312058--52312059--52312060--52312061--52312062--52312063--52312064--52312065--52312066--52312067--52312068--52312069--52312070--52312071--52312072--52312073--52312074--52312075--52312076--52312077--52312078--52312079--52312080--52312081--52312082--52312083--52312084--52312085--52312086--52312087--52312088--52312089--52312090--52312091--52312092--52312093--52312094--52312095--52312096--52312097--52312098--52312099--52312100-
501043TH_1_2023_15,'501043TH,Thực hành cấu trúc dữ liệu và giải thuật 1,2,2,-1-2-3-4-5-6-7-8-9-10-,hk1,-52312051--52312052--52312053--52312054--52312055--52312056--52312057--52312058--52312059--52312060--52312061--52312062--52312063--52312064--52312065--52312066--52312067--52312068--52312069--52312070--52312071--52312072--52312073--52312074--52312075--52312076--52312077--52312078--52312079--52312080--52312081--52312082--52312083--52312084--52312085--52312086--52312087--52312088--52312089--52312090--52312091--52312092--52312093--52312094--52312095--52312096--52312097--52312098--52312099--52312100-
501032_1_2023_15,'501032,Đại số tuyến tính cho Công nghệ thông tin,3,6,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52312051--52312052--52312053--52312054--52312055--52312056--52312057--52312058--52312059--52312060--52312061--52312062--52312063--52312064--52312065--52312066--52312067--52312068--52312069--52312070--52312071--52312072--52312073--52312074--52312075--52312076--52312077--52312078--52312079--52312080--52312081--52312082--52312083--52312084--52312085--52312086--52312087--52312088--52312089--52312090--52312091--52312092--52312093--52312094--52312095--52312096--52312097--52312098--52312099--52312100-
501032TH_1_2023_15,'501032TH,Thực hành đại số tuyến tính cho Công nghệ thông tin,3,5,-1-2-3-4-5-6-7-8-9-10-,hk1,-52312051--52312052--52312053--52312054--52312055--52312056--52312057--52312058--52312059--52312060--52312061--52312062--52312063--52312064--52312065--52312066--52312067--52312068--52312069--52312070--52312071--52312072--52312073--52312074--52312075--52312076--52312077--52312078--52312079--52312080--52312081--52312082--52312083--52312084--52312085--52312086--52312087--52312088--52312089--52312090--52312091--52312092--52312093--52312094--52312095--52312096--52312097--52312098--52312099--52312100-
501031_1_2023_15,'501031,Giải tích ứng dụng cho Công nghệ thông tin,2,3,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52312051--52312052--52312053--52312054--52312055--52312056--52312057--52312058--52312059--52312060--52312061--52312062--52312063--52312064--52312065--52312066--52312067--52312068--52312069--52312070--52312071--52312072--52312073--52312074--52312075--52312076--52312077--52312078--52312079--52312080--52312081--52312082--52312083--52312084--52312085--52312086--52312087--52312088--52312089--52312090--52312091--52312092--52312093--52312094--52312095--52312096--52312097--52312098--52312099--52312100-
501031TH_1_2023_15,'501031TH,Thực hành giải tích ứng dụng cho Công nghệ thông tin,2,7,-2-3-4-5-6-7-8-9-10-11-,hk1,-52312051--52312052--52312053--52312054--52312055--52312056--52312057--52312058--52312059--52312060--52312061--52312062--52312063--52312064--52312065--52312066--52312067--52312068--52312069--52312070--52312071--52312072--52312073--52312074--52312075--52312076--52312077--52312078--52312079--52312080--52312081--52312082--52312083--52312084--52312085--52312086--52312087--52312088--52312089--52312090--52312091--52312092--52312093--52312094--52312095--52312096--52312097--52312098--52312099--52312100-
D02030_1_2023_15,'D02030,Giáo dục quốc phòng - Học phần 3,1,4,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-26-27-28-29-30-31-32-,hk1,-52312051--52312052--52312053--52312054--52312055--52312056--52312057--52312058--52312059--52312060--52312061--52312062--52312063--52312064--52312065--52312066--52312067--52312068--52312069--52312070--52312071--52312072--52312073--52312074--52312075--52312076--52312077--52312078--52312079--52312080--52312081--52312082--52312083--52312084--52312085--52312086--52312087--52312088--52312089--52312090--52312091--52312092--52312093--52312094--52312095--52312096--52312097--52312098--52312099--52312100-
L00001_1_2023_15,'L00001,Kỹ năng phát triển bền vững,3,2,-3-4-5-6-7-,hk1,-52312051--52312052--52312053--52312054--52312055--52312056--52312057--52312058--52312059--52312060--52312061--52312062--52312063--52312064--52312065--52312066--52312067--52312068--52312069--52312070--52312071--52312072--52312073--52312074--52312075--52312076--52312077--52312078--52312079--52312080--52312081--52312082--52312083--52312084--52312085--52312086--52312087--52312088--52312089--52312090--52312091--52312092--52312093--52312094--52312095--52312096--52312097--52312098--52312099--52312100-
300014_1_2023_15,'300014,Phương pháp học đại học,2,4,-2-3-,hk1,-52312051--52312052--52312053--52312054--52312055--52312056--52312057--52312058--52312059--52312060--52312061--52312062--52312063--52312064--52312065--52312066--52312067--52312068--52312069--52312070--52312071--52312072--52312073--52312074--52312075--52312076--52312077--52312078--52312079--52312080--52312081--52312082--52312083--52312084--52312085--52312086--52312087--52312088--52312089--52312090--52312091--52312092--52312093--52312094--52312095--52312096--52312097--52312098--52312099--52312100-
501042_1_2023_15,'501042,Phương pháp lập trình,1,7,-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-,hk1,-52312051--52312052--52312053--52312054--52312055--52312056--52312057--52312058--52312059--52312060--52312061--52312062--52312063--52312064--52312065--52312066--52312067--52312068--52312069--52312070--52312071--52312072--52312073--52312074--52312075--52312076--52312077--52312078--52312079--52312080--52312081--52312082--52312083--52312084--52312085--52312086--52312087--52312088--52312089--52312090--52312091--52312092--52312093--52312094--52312095--52312096--52312097--52312098--52312099--52312100-
501042TH_1_2023_15,'501042TH,Thực hành phương pháp lập trình,4,6,-1-2-3-4-5-6-7-8-9-10-,hk1,-52312051--52312052--52312053--52312054--52312055--52312056--52312057--52312058--52312059--52312060--52312061--52312062--52312063--52312064--52312065--52312066--52312067--52312068--52312069--52312070--52312071--52312072--52312073--52312074--52312075--52312076--52312077--52312078--52312079--52312080--52312081--52312082--52312083--52312084--52312085--52312086--52312087--52312088--52312089--52312090--52312091--52312092--52312093--52312094--52312095--52312096--52312097--52312098--52312099--52312100-
001201_1_2023_15,'001201,Tiếng Anh 1,4,3,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-26-27-,hk1,-52312051--52312052--52312053--52312054--52312055--52312056--52312057--52312058--52312059--52312060--52312061--52312062--52312063--52312064--52312065--52312066--52312067--52312068--52312069--52312070--52312071--52312072--52312073--52312074--52312075--52312076--52312077--52312078--52312079--52312080--52312081--52312082--52312083--52312084--52312085--52312086--52312087--52312088--52312089--52312090--52312091--52312092--52312093--52312094--52312095--52312096--52312097--52312098--52312099--52312100-
D01001_1_2023_16,'D01001,Bơi lội,4,5,-1-2-3-4-5-6-7-8-9-10-,hk1,-52303001--52303002--52303003--52303004--52303005--52303006--52303007--52303008--52303009--52303010--52303011--52303012--52303013--52303014--52303015--52303016--52303017--52303018--52303019--52303020--52303021--52303022--52303023--52303024--52303025--52303026--52303027--52303028--52303029--52303030--52303031--52303032--52303033--52303034--52303035--52303036--52303037--52303038--52303039--52303040--52303041--52303042--52303043--52303044--52303045--52303046--52303047--52303048--52303049--52303050-
501043_1_2023_16,'501043,Cấu trúc dữ liệu và giải thuật 1,1,2,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52303001--52303002--52303003--52303004--52303005--52303006--52303007--52303008--52303009--52303010--52303011--52303012--52303013--52303014--52303015--52303016--52303017--52303018--52303019--52303020--52303021--52303022--52303023--52303024--52303025--52303026--52303027--52303028--52303029--52303030--52303031--52303032--52303033--52303034--52303035--52303036--52303037--52303038--52303039--52303040--52303041--52303042--52303043--52303044--52303045--52303046--52303047--52303048--52303049--52303050-
501043TH_1_2023_16,'501043TH,Thực hành cấu trúc dữ liệu và giải thuật 1,1,5,-1-2-3-4-5-6-7-8-9-10-,hk1,-52303001--52303002--52303003--52303004--52303005--52303006--52303007--52303008--52303009--52303010--52303011--52303012--52303013--52303014--52303015--52303016--52303017--52303018--52303019--52303020--52303021--52303022--52303023--52303024--52303025--52303026--52303027--52303028--52303029--52303030--52303031--52303032--52303033--52303034--52303035--52303036--52303037--52303038--52303039--52303040--52303041--52303042--52303043--52303044--52303045--52303046--52303047--52303048--52303049--52303050-
501032_1_2023_16,'501032,Đại số tuyến tính cho Công nghệ thông tin,2,6,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52303001--52303002--52303003--52303004--52303005--52303006--52303007--52303008--52303009--52303010--52303011--52303012--52303013--52303014--52303015--52303016--52303017--52303018--52303019--52303020--52303021--52303022--52303023--52303024--52303025--52303026--52303027--52303028--52303029--52303030--52303031--52303032--52303033--52303034--52303035--52303036--52303037--52303038--52303039--52303040--52303041--52303042--52303043--52303044--52303045--52303046--52303047--52303048--52303049--52303050-
501032TH_1_2023_16,'501032TH,Thực hành đại số tuyến tính cho Công nghệ thông tin,4,4,-1-2-3-4-5-6-7-8-9-10-,hk1,-52303001--52303002--52303003--52303004--52303005--52303006--52303007--52303008--52303009--52303010--52303011--52303012--52303013--52303014--52303015--52303016--52303017--52303018--52303019--52303020--52303021--52303022--52303023--52303024--52303025--52303026--52303027--52303028--52303029--52303030--52303031--52303032--52303033--52303034--52303035--52303036--52303037--52303038--52303039--52303040--52303041--52303042--52303043--52303044--52303045--52303046--52303047--52303048--52303049--52303050-
501031_1_2023_16,'501031,Giải tích ứng dụng cho Công nghệ thông tin,1,3,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52303001--52303002--52303003--52303004--52303005--52303006--52303007--52303008--52303009--52303010--52303011--52303012--52303013--52303014--52303015--52303016--52303017--52303018--52303019--52303020--52303021--52303022--52303023--52303024--52303025--52303026--52303027--52303028--52303029--52303030--52303031--52303032--52303033--52303034--52303035--52303036--52303037--52303038--52303039--52303040--52303041--52303042--52303043--52303044--52303045--52303046--52303047--52303048--52303049--52303050-
501031TH_1_2023_16,'501031TH,Thực hành giải tích ứng dụng cho Công nghệ thông tin,3,6,-1-2-3-4-5-6-7-8-9-10-,hk1,-52303001--52303002--52303003--52303004--52303005--52303006--52303007--52303008--52303009--52303010--52303011--52303012--52303013--52303014--52303015--52303016--52303017--52303018--52303019--52303020--52303021--52303022--52303023--52303024--52303025--52303026--52303027--52303028--52303029--52303030--52303031--52303032--52303033--52303034--52303035--52303036--52303037--52303038--52303039--52303040--52303041--52303042--52303043--52303044--52303045--52303046--52303047--52303048--52303049--52303050-
D02030_1_2023_16,'D02030,Giáo dục quốc phòng - Học phần 3,3,5,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-26-27-28-29-30-31-32-,hk1,-52303001--52303002--52303003--52303004--52303005--52303006--52303007--52303008--52303009--52303010--52303011--52303012--52303013--52303014--52303015--52303016--52303017--52303018--52303019--52303020--52303021--52303022--52303023--52303024--52303025--52303026--52303027--52303028--52303029--52303030--52303031--52303032--52303033--52303034--52303035--52303036--52303037--52303038--52303039--52303040--52303041--52303042--52303043--52303044--52303045--52303046--52303047--52303048--52303049--52303050-
L00001_1_2023_16,'L00001,Kỹ năng phát triển bền vững,1,4,-3-4-5-6-7-,hk1,-52303001--52303002--52303003--52303004--52303005--52303006--52303007--52303008--52303009--52303010--52303011--52303012--52303013--52303014--52303015--52303016--52303017--52303018--52303019--52303020--52303021--52303022--52303023--52303024--52303025--52303026--52303027--52303028--52303029--52303030--52303031--52303032--52303033--52303034--52303035--52303036--52303037--52303038--52303039--52303040--52303041--52303042--52303043--52303044--52303045--52303046--52303047--52303048--52303049--52303050-
300014_1_2023_16,'300014,Phương pháp học đại học,2,2,-2-3-,hk1,-52303001--52303002--52303003--52303004--52303005--52303006--52303007--52303008--52303009--52303010--52303011--52303012--52303013--52303014--52303015--52303016--52303017--52303018--52303019--52303020--52303021--52303022--52303023--52303024--52303025--52303026--52303027--52303028--52303029--52303030--52303031--52303032--52303033--52303034--52303035--52303036--52303037--52303038--52303039--52303040--52303041--52303042--52303043--52303044--52303045--52303046--52303047--52303048--52303049--52303050-
501042_1_2023_16,'501042,Phương pháp lập trình,2,5,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52303001--52303002--52303003--52303004--52303005--52303006--52303007--52303008--52303009--52303010--52303011--52303012--52303013--52303014--52303015--52303016--52303017--52303018--52303019--52303020--52303021--52303022--52303023--52303024--52303025--52303026--52303027--52303028--52303029--52303030--52303031--52303032--52303033--52303034--52303035--52303036--52303037--52303038--52303039--52303040--52303041--52303042--52303043--52303044--52303045--52303046--52303047--52303048--52303049--52303050-
501042TH_1_2023_16,'501042TH,Thực hành phương pháp lập trình,4,3,-1-2-3-4-5-6-7-8-9-10-,hk1,-52303001--52303002--52303003--52303004--52303005--52303006--52303007--52303008--52303009--52303010--52303011--52303012--52303013--52303014--52303015--52303016--52303017--52303018--52303019--52303020--52303021--52303022--52303023--52303024--52303025--52303026--52303027--52303028--52303029--52303030--52303031--52303032--52303033--52303034--52303035--52303036--52303037--52303038--52303039--52303040--52303041--52303042--52303043--52303044--52303045--52303046--52303047--52303048--52303049--52303050-
001201_1_2023_16,'001201,Tiếng Anh 1,2,4,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-26-27-,hk1,-52303001--52303002--52303003--52303004--52303005--52303006--52303007--52303008--52303009--52303010--52303011--52303012--52303013--52303014--52303015--52303016--52303017--52303018--52303019--52303020--52303021--52303022--52303023--52303024--52303025--52303026--52303027--52303028--52303029--52303030--52303031--52303032--52303033--52303034--52303035--52303036--52303037--52303038--52303039--52303040--52303041--52303042--52303043--52303044--52303045--52303046--52303047--52303048--52303049--52303050-
D01001_1_2023_17,'D01001,Bơi lội,3,4,-1-2-3-4-5-6-7-8-9-10-,hk1,-52301051--52301052--52301053--52301054--52301055--52301056--52301057--52301058--52301059--52301060--52301061--52301062--52301063--52301064--52301065--52301066--52301067--52301068--52301069--52301070--52301071--52301072--52301073--52301074--52301075--52301076--52301077--52301078--52301079--52301080--52301081--52301082--52301083--52301084--52301085--52301086--52301087--52301088--52301089--52301090--52301091--52301092--52301093--52301094--52301095--52301096--52301097--52301098--52301099--52301100-
501043_1_2023_17,'501043,Cấu trúc dữ liệu và giải thuật 1,1,3,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52301051--52301052--52301053--52301054--52301055--52301056--52301057--52301058--52301059--52301060--52301061--52301062--52301063--52301064--52301065--52301066--52301067--52301068--52301069--52301070--52301071--52301072--52301073--52301074--52301075--52301076--52301077--52301078--52301079--52301080--52301081--52301082--52301083--52301084--52301085--52301086--52301087--52301088--52301089--52301090--52301091--52301092--52301093--52301094--52301095--52301096--52301097--52301098--52301099--52301100-
501043TH_1_2023_17,'501043TH,Thực hành cấu trúc dữ liệu và giải thuật 1,1,7,-2-3-4-5-6-7-8-9-10-11-,hk1,-52301051--52301052--52301053--52301054--52301055--52301056--52301057--52301058--52301059--52301060--52301061--52301062--52301063--52301064--52301065--52301066--52301067--52301068--52301069--52301070--52301071--52301072--52301073--52301074--52301075--52301076--52301077--52301078--52301079--52301080--52301081--52301082--52301083--52301084--52301085--52301086--52301087--52301088--52301089--52301090--52301091--52301092--52301093--52301094--52301095--52301096--52301097--52301098--52301099--52301100-
501032_1_2023_17,'501032,Đại số tuyến tính cho Công nghệ thông tin,1,2,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52301051--52301052--52301053--52301054--52301055--52301056--52301057--52301058--52301059--52301060--52301061--52301062--52301063--52301064--52301065--52301066--52301067--52301068--52301069--52301070--52301071--52301072--52301073--52301074--52301075--52301076--52301077--52301078--52301079--52301080--52301081--52301082--52301083--52301084--52301085--52301086--52301087--52301088--52301089--52301090--52301091--52301092--52301093--52301094--52301095--52301096--52301097--52301098--52301099--52301100-
